sae_dim,score
415,6.9667568465754925
2784,5.223414025438785
3471,5.113381653486927
920,4.389745541334913
3378,3.827415777280476
3802,3.77097141726776
2352,3.655764100964098
633,3.6535528477857757
1360,3.546074850813678
1845,3.5313300096420868
700,3.3387882715279216
472,2.9823320367886796
2427,2.9128601681232196
2562,2.730882541901348
2922,2.650821585897289
2716,2.6131685552036275
1485,2.5294407301861015
2064,2.4903997414874843
645,2.3783873496781673
1597,2.3759957429965115
460,2.3618515578785892
4043,2.344050967293498
3269,2.1276032822248934
3859,2.12292512304688
990,1.971696328709057
3635,1.9571954931972337
1436,1.833759632513066
659,1.801138961105514
459,1.6541432798823348
570,1.6144501172776815
34,1.6065122819946736
3134,1.535787450175917
334,1.442214536514418
3520,1.4394590347657374
864,1.4071105882669221
3242,1.3719334463427335
1357,1.3232566000367767
2183,1.2842605337819881
3469,1.257676379516556
1180,1.1489148635921287
3033,1.1122237595364743
812,1.0911142418864257
3213,1.0541077460841282
4011,1.023047277296708
395,0.925021875797465
538,0.914442480148241
435,0.9082190863969279
1946,0.871642991961597
2319,0.8668339125560978
2651,0.8484470863795723
542,0.839444696217144
1800,0.8254967868173163
3373,0.8254720786075794
4004,0.7726001268971733
2356,0.7682931268205266
1462,0.7408585769028254
1508,0.730894826882262
3302,0.7269947070642181
3708,0.6880252760726812
265,0.6670988659805004
732,0.6426600444505556
2440,0.5983199307193304
260,0.5894786555937439
1107,0.5536358730130175
4037,0.5277231708142199
2253,0.5269274338815715
3337,0.5246235404701063
1093,0.5211014625940266
2277,0.5114814991671051
280,0.49854137684400823
957,0.4599798876683055
3017,0.45954913146578263
3990,0.42921782340225123
54,0.4220690304401042
2723,0.4137441953514015
331,0.3896024130142888
1956,0.3694240230085294
2003,0.357064953939516
2877,0.3540854207542907
3160,0.352033244924609
1896,0.3501640448947204
2707,0.3420905898522429
1672,0.34204731500524005
3566,0.33498527175387016
873,0.32961157367248395
3402,0.3015276369228858
3723,0.29407307843566033
3341,0.2909675190730685
2668,0.28162616410523594
4005,0.27597982304494784
2371,0.2721266008116902
1899,0.2720160349494928
2001,0.2623599041646853
3828,0.2580645196842763
653,0.22765515135479736
1726,0.21048261040230423
1076,0.18755806961183272
2182,0.17602748321419698
619,0.15937937924623233
2469,0.14807895278922292
2462,0.1380056096562798
3817,0.13090262424145874
1789,0.12643246325117316
3506,0.12147788029022281
82,0.12061696840483395
3363,0.11277057297512856
3540,0.11215469041795213
314,0.1094683699786741
862,0.10404764306641046
1847,0.10142498799191908
3662,0.09435747719955355
3692,0.09316136109028117
780,0.09150964772900634
418,0.08745327390897618
2963,0.08525127893067548
2787,0.06960099839446698
1636,0.06482188133736368
3979,0.05967646044264993
1547,0.05642889074219423
1146,0.05629438131374778
2125,0.05584342121558824
1934,0.051640693500678174
713,0.04837914257440841
3371,0.04760969520004777
2406,0.04719338727166852
579,0.046515570101342614
1746,0.04630737031024752
2908,0.043973539271677964
1098,0.03970202701050255
3101,0.036265459055985
3310,0.03304418806860158
1613,0.03225806589976608
2105,0.032258065671315665
352,0.032258065493824435
2814,0.032258065115832776
2631,0.03225806499777484
3524,0.03225806493010659
527,0.03225806477479727
3308,0.03225806445896338
1632,0.032258064377317264
1299,0.03225806427973073
1023,0.03225806381013701
2905,0.0322580637779207
246,0.03225806373948029
697,0.03225806328436239
909,0.03225806308644056
772,0.03130051625636932
2930,0.03000236112883643
2493,0.028774235596479285
2724,0.02677953627305184
283,0.020725783004242923
469,0.019961150384288685
2301,0.01751051992869936
3457,0.015112694293562318
565,0.014656822094473616
589,0.010443872646656542
