dim,precision,recall,f1
796,0.5,0.7,0.5833333333333334
2271,1.0,0.4,0.5714285714285714
2555,0.8,0.4,0.5333333333333333
3567,0.42857142857142855,0.6,0.5
302,0.6666666666666666,0.4,0.5
2903,1.0,0.3,0.46153846153846156
2152,0.5,0.4,0.4444444444444444
2146,0.4444444444444444,0.4,0.42105263157894735
2611,0.3157894736842105,0.6,0.41379310344827586
1281,0.6,0.3,0.4
685,0.6,0.3,0.4
3558,0.3333333333333333,0.4,0.36363636363636365
1899,0.22580645161290322,0.7,0.34146341463414637
18,1.0,0.2,0.3333333333333333
1973,1.0,0.2,0.3333333333333333
2365,0.2,0.9,0.32727272727272727
355,0.26666666666666666,0.4,0.32
3448,0.20588235294117646,0.7,0.3181818181818182
1582,0.3333333333333333,0.3,0.3157894736842105
633,0.1951219512195122,0.8,0.3137254901960784
2087,0.6666666666666666,0.2,0.3076923076923077
3258,0.2,0.5,0.2857142857142857
3951,0.5,0.2,0.2857142857142857
995,0.2727272727272727,0.3,0.2857142857142857
1180,0.1875,0.6,0.2857142857142857
4037,0.175,0.7,0.28
168,0.175,0.7,0.28
1876,0.175,0.7,0.28
2716,0.16666666666666666,0.8,0.27586206896551724
3920,0.21052631578947367,0.4,0.27586206896551724
3990,0.17647058823529413,0.6,0.2727272727272727
2514,0.4,0.2,0.26666666666666666
1621,0.4,0.2,0.26666666666666666
3439,0.14705882352941177,1.0,0.2564102564102564
2226,0.15789473684210525,0.6,0.25
2057,0.16666666666666666,0.5,0.25
2875,0.3333333333333333,0.2,0.25
2882,0.3333333333333333,0.2,0.25
862,0.15217391304347827,0.7,0.25
3918,0.16129032258064516,0.5,0.24390243902439024
2920,0.16129032258064516,0.5,0.24390243902439024
675,0.140625,0.9,0.24324324324324326
3493,0.17391304347826086,0.4,0.24242424242424243
3378,0.14583333333333334,0.7,0.2413793103448276
3081,0.2,0.3,0.24
29,0.14035087719298245,0.8,0.23880597014925373
3521,0.14035087719298245,0.8,0.23880597014925373
2953,0.14285714285714285,0.7,0.23728813559322035
1734,0.2857142857142857,0.2,0.23529411764705882
2799,0.16666666666666666,0.4,0.23529411764705882
2749,0.14,0.7,0.23333333333333334
2597,0.1875,0.3,0.23076923076923078
3241,0.14285714285714285,0.6,0.23076923076923078
3164,0.13725490196078433,0.7,0.22950819672131148
2205,0.1282051282051282,1.0,0.22727272727272727
3343,0.13953488372093023,0.6,0.22641509433962265
3395,0.13953488372093023,0.6,0.22641509433962265
12,0.13953488372093023,0.6,0.22641509433962265
2800,0.12658227848101267,1.0,0.2247191011235955
3647,0.12903225806451613,0.8,0.2222222222222222
3964,0.12903225806451613,0.8,0.2222222222222222
3160,0.1320754716981132,0.7,0.2222222222222222
3520,0.13636363636363635,0.6,0.2222222222222222
140,0.14285714285714285,0.5,0.2222222222222222
1304,0.125,1.0,0.2222222222222222
2182,0.12195121951219512,1.0,0.21739130434782608
3106,0.1388888888888889,0.5,0.21739130434782608
2389,0.1388888888888889,0.5,0.21739130434782608
258,0.14814814814814814,0.4,0.21621621621621623
790,0.14814814814814814,0.4,0.21621621621621623
2006,0.14814814814814814,0.4,0.21621621621621623
3187,0.12727272727272726,0.7,0.2153846153846154
364,0.13043478260869565,0.6,0.21428571428571427
1436,0.13043478260869565,0.6,0.21428571428571427
1009,0.13513513513513514,0.5,0.2127659574468085
1093,0.13513513513513514,0.5,0.2127659574468085
1667,0.125,0.7,0.21212121212121213
2062,0.12,0.9,0.21176470588235294
327,0.12,0.9,0.21176470588235294
1638,0.2222222222222222,0.2,0.21052631578947367
3460,0.2222222222222222,0.2,0.21052631578947367
1200,0.11764705882352941,1.0,0.21052631578947367
431,0.12280701754385964,0.7,0.208955223880597
1672,0.13157894736842105,0.5,0.20833333333333334
1951,0.1206896551724138,0.7,0.20588235294117646
459,0.1206896551724138,0.7,0.20588235294117646
105,0.11538461538461539,0.9,0.20454545454545456
4095,0.1282051282051282,0.5,0.20408163265306123
3388,0.11594202898550725,0.8,0.20253164556962025
2246,0.11392405063291139,0.9,0.20224719101123595
645,0.11392405063291139,0.9,0.20224719101123595
2479,0.11392405063291139,0.9,0.20224719101123595
1114,0.13333333333333333,0.4,0.2
3956,0.1111111111111111,1.0,0.2
314,0.15,0.3,0.2
3975,0.13333333333333333,0.4,0.2
1106,0.1125,0.9,0.2
2378,0.1111111111111111,0.9,0.1978021978021978
2787,0.11475409836065574,0.7,0.19718309859154928
316,0.12195121951219512,0.5,0.19607843137254902
1315,0.10752688172043011,1.0,0.1941747572815534
1726,0.10752688172043011,1.0,0.1941747572815534
2029,0.10752688172043011,1.0,0.1941747572815534
1611,0.11538461538461539,0.6,0.1935483870967742
36,0.10843373493975904,0.9,0.1935483870967742
1248,0.10843373493975904,0.9,0.1935483870967742
1149,0.11538461538461539,0.6,0.1935483870967742
509,0.14285714285714285,0.3,0.1935483870967742
3708,0.11904761904761904,0.5,0.19230769230769232
3979,0.11904761904761904,0.5,0.19230769230769232
